Jaar,Leeftijdsgroep,Autorijbewijs totaal,Busrijbewijs totaal,Bromfietsrijbewijs,Motorrijbewijs,Vrachtautorijbewijs totaal
2014,16 tot 18 jaar,12846,0,48201,0,0 
2014,18 tot 20 jaar,170879,6,193771,1555,1087
2014,20 tot 25 jaar,748794,382,784561,33147,12658
2014,25 tot 30 jaar,824642,1769,833400,65738,25857
2014,30 tot 40 jaar,1733078,7890,1754755,194419,75200
2014,40 tot 50 jaar,2259898,32442,2293095,401992,168187
2014,50 tot 60 jaar,2111301,155797,2150415,363051,196410
2014,60 tot 65 jaar,894849,76355,914188,102023,83802
2014,65 tot 70 jaar,828094,55726,843649,88674,59877
2014,70 tot 75 jaar,510122,20335,520575,70783,22299
2014,75 jaar of ouder,563517,16447,580391,88580,19298
2015,16 tot 18 jaar,14927,0,49780,0,0 
2015,18 tot 20 jaar,174827,6,193063,566,956
2015,20 tot 25 jaar,751848,332,784942,29323,11776
2015,25 tot 30 jaar,835008,1565,844205,67142,24401
2015,30 tot 40 jaar,1725463,7293,1745411,188187,71410
2015,40 tot 50 jaar,2207210,22832,2238708,383219,152043
2015,50 tot 60 jaar,2147596,146032,2185852,384169,193569
2015,60 tot 65 jaar,898530,77623,918155,108658,85510
2015,65 tot 70 jaar,855864,57688,872243,90053,62185
2015,70 tot 75 jaar,543363,18493,551312,71403,20124
2015,75 jaar of ouder,601298,15791,613405,94280,18403
2016,16 tot 18 jaar,16665,0,52267,0,0 
2016,18 tot 20 jaar,181496,8,198311,610,969
2016,20 tot 25 jaar,747320,368,775622,26130,10938
2016,25 tot 30 jaar,849870,1539,860266,69021,23564
2016,30 tot 40 jaar,1731765,6873,1750156,184892,69113
2016,40 tot 50 jaar,2160486,18268,2190389,363934,141741
2016,50 tot 60 jaar,2191737,134414,2229298,403033,191721
2016,60 tot 65 jaar,913432,79400,933218,116923,88158
2016,65 tot 70 jaar,890290,61947,907682,92986,67130
2016,70 tot 75 jaar,566471,17446,574600,70146,19073
2016,75 jaar of ouder,644804,15097,658087,99598,17638
2017,16 tot 18 jaar,17367,0,53187,0,0 
2017,18 tot 20 jaar,188872,14,205985,596,987
2017,20 tot 25 jaar,745044,436,768130,23902,10423
2017,25 tot 30 jaar,859589,1673,871426,70106,22847
2017,30 tot 40 jaar,1741281,6625,1757986,184051,67315
2017,40 tot 50 jaar,2107290,16086,2135943,344468,131944
2017,50 tot 60 jaar,2212920,119506,2249354,416833,187134
2017,60 tot 65 jaar,928160,77182,947918,126137,86629
2017,65 tot 70 jaar,866673,59857,883975,91697,65274
2017,70 tot 75 jaar,638181,18400,646939,74416,20159
2017,75 jaar of ouder,680689,14071,694813,103656,16449
2018,16 tot 18 jaar,19660,0,55826,0,0 
2018,18 tot 20 jaar,199683,11,216627,741,1092
2018,20 tot 25 jaar,747504,482,765680,22440,10400
2018,25 tot 30 jaar,866720,1774,878919,70650,22496
2018,30 tot 40 jaar,1752644,6560,1767551,185253,65994
2018,40 tot 50 jaar,2051394,14672,2078463,325220,122647
2018,50 tot 60 jaar,2224936,102209,2259594,426265,178621
2018,60 tot 65 jaar,938823,71304,958058,135849,81553
2018,65 tot 70 jaar,850840,54805,867971,93080,60355
2018,70 tot 75 jaar,699568,19619,708742,78083,21536
2018,75 jaar of ouder,718675,13170,733408,106936,15388
2019,16 tot 18 jaar,18688,0,57552,0,0 
2019,18 tot 20 jaar,204227,17,221428,749,1232
2019,20 tot 25 jaar,754032,522,768305,22728,10674
2019,25 tot 30 jaar,876013,1893,888662,70462,22381
2019,30 tot 40 jaar,1769754,6439,1782682,188006,64866
2019,40 tot 50 jaar,2003348,13567,2028404,306665,113254
2019,50 tot 60 jaar,2241774,84807,2274417,433258,169937
2019,60 tot 65 jaar,957052,67139,975258,147260,78264
2019,65 tot 70 jaar,846138,51642,862919,97030,57467
2019,70 tot 75 jaar,742051,20792,751521,80336,22914
2019,75 jaar of ouder,763073,12488,778053,110349,14610
2020,16 tot 18 jaar,18425,0,59032,0,0 
2020,18 tot 20 jaar,208847,21,226470,823,1251
2020,20 tot 25 jaar,763585,520,776930,23342,10859
2020,25 tot 30 jaar,886152,1881,896224,70300,22203
2020,30 tot 40 jaar,1796426,6495,1805984,192698,64186
2020,40 tot 50 jaar,1950545,12875,1970537,286855,104275
2020,50 tot 60 jaar,2268768,72414,2296056,439529,166145
2020,60 tot 65 jaar,980886,60135,995453,159697,72149
2020,65 tot 70 jaar,851026,48960,864309,103554,54991
2020,70 tot 75 jaar,772875,22323,782830,81976,24838
2020,75 jaar of ouder,802584,13509,816557,113854,15750
2021,16 tot 18 jaar,12122,0,50425,0,0 
2021,18 tot 20 jaar,186936,26,208473,781,1128
2021,20 tot 25 jaar,769600,488,783566,23384,10619
2021,25 tot 30 jaar,880544,1811,890562,68281,21385
2021,30 tot 40 jaar,1822780,6582,1832760,197112,64176
2021,40 tot 50 jaar,1911049,12084,1930213,269857,96310
2021,50 tot 60 jaar,2290807,59834,2318428,442065,161886
2021,60 tot 65 jaar,1005070,57922,1019613,172432,71231
2021,65 tot 70 jaar,865311,45874,879252,111832,52317
2021,70 tot 75 jaar,806284,23951,817141,85313,26895
2021,75 jaar of ouder,887346,15156,905129,122533,17593
2022,16 tot 18 jaar,10063,0,48451,0,0 
2022,18 tot 20 jaar,171507,9,194993,759,1117
2022,20 tot 25 jaar,772732,416,787803,24153,10699
2022,25 tot 30 jaar,870378,1611,878825,68050,20724
2022,30 tot 40 jaar,1838800,6512,1849328,202704,64158
2022,40 tot 50 jaar,1867810,11198,1885232,254270,89354
2022,50 tot 60 jaar,2283838,48779,2310681,437167,157617
2022,60 tot 65 jaar,1025522,56674,1039816,185050,72240
2022,65 tot 70 jaar,877898,46387,891938,120501,53521
2022,70 tot 75 jaar,785923,24936,796863,84223,28272
2022,75 jaar of ouder,940360,17626,958920,127632,20563
2023,16 tot 18 jaar,13197,0,59256,0,0 
2023,18 tot 20 jaar,178174,9,199288,872,1218
2023,20 tot 25 jaar,780726,437,796251,26287,11802
2023,25 tot 30 jaar,868382,1545,875716,68731,20877
2023,30 tot 40 jaar,1867411,6403,1878703,209830,64423
2023,40 tot 50 jaar,1836944,10551,1852990,242373,84327
2023,50 tot 60 jaar,2269352,39332,2295457,428306,152892
2023,60 tot 65 jaar,1046994,54985,1061015,196533,73382
2023,65 tot 70 jaar,892910,47432,907068,130482,55599
2023,70 tot 75 jaar,779338,27104,790625,86015,30881
2023,75 jaar of ouder,995048,19842,1014507,132652,23271
2024,16 tot 18 jaar,14195,0,61097,0,0 
2024,18 tot 20 jaar,182333,25,203491,1085,1362
2024,20 tot 25 jaar,789050,505,804336,28095,12633
2024,25 tot 30 jaar,877053,1488,883249,69988,21352
2024,30 tot 40 jaar,1906272,6552,1918276,217887,65346
2024,40 tot 50 jaar,1828527,10166,1843331,235407,81914
2024,50 tot 60 jaar,2237374,30408,2262436,414559,146489
2024,60 tot 65 jaar,1069700,53333,1083670,207257,75930
2024,65 tot 70 jaar,913875,49453,927873,141612,58962
2024,70 tot 75 jaar,781166,29845,793050,90290,34209
2024,75 jaar of ouder,1057597,22217,1077889,137766,26194
